#  Steps           Rx_A           Rx_B           Epot           Temp           Ekin           Etot
    3370      -0.000000     -15.954800  -12733.622325       0.062054     186.161803  -12547.460522
    3380      -0.000000     -15.942800  -12733.264016       0.061934     185.803494  -12547.460522
    3390      -0.000000     -15.930800  -12732.843909       0.061794     185.383406  -12547.460503
    3400      -0.000000     -15.918800  -12732.374849       0.061638     184.914355  -12547.460494
    3410      -0.000000     -15.906800  -12731.871541       0.061470     184.411043  -12547.460497
    3420      -0.000000     -15.894800  -12731.349894       0.061296     183.889408  -12547.460486
    3430      -0.000000     -15.882800  -12730.827499       0.061122     183.367017  -12547.460482
    3440      -0.000000     -15.870800  -12730.323446       0.060954     182.862976  -12547.460469
    3450      -0.000000     -15.858800  -12729.856324       0.060799     182.395864  -12547.460459
    3460      -0.000000     -15.846800  -12729.443324       0.060661     181.982874  -12547.460450
